Year,Community_ID,Community_Name,Community_County,Community_FIPS_Code,Community_Region,Community_State,Community_Zip,Community_Population,Community_Median_Income,Shelter_ID,Shelter_Name,Org_Count,Shelter_Zip,Shelter_Type,Community_Lead,Begin_Count_D,Intake_Pub_H_D,Intake_Pub_TR_D,Intake_Pub_TM_D,Intake_Pub_UU_D,Intake_Pub_Total_D,Intake_In_Comm_H_D,Intake_In_Comm_TR_D,Intake_In_Comm_TM_D,Intake_In_Comm_UU_D,Intake_In_Comm_Total_D,Intake_Out_Comm_H_D,Intake_Out_Comm_TR_D,Intake_Out_Comm_TM_D,Intake_Out_Comm_UU_D,Intake_Out_Comm_Total_D,Intake_ORE_H_D,Intake_ORE_TR_D,Intake_ORE_TM_D,Intake_ORE_UU_D,Intake_ORE_Total_D,Total_Intake_D,ORE_Intake_UU_D,Total_Intake_Adj_D,Adoption_H_D,Adoption_TR_D,Adoption_TM_D,Adoption_UU_D,Total_Adoptions_D,Transfer_In_Comm_H_D,Transfer_In_Comm_TR_D,Transfer_In_Comm_TM_D,Transfer_In_Comm_UU_D,Transfer_In_Comm_Total_D,Transfer_Out_Comm_H_D,Transfer_Out_Comm_TR_D,Transfer_Out_Comm_TM_D,Transfer_Out_Comm_UU_D,Transfer_Out_Comm_Total_D,RTO_D,Return_Habitat_D,Euth_H_D,Euth_TR_D,Euth_TM_D,Euth_UU_D,Total_Euth_D,ORE_Euth_UU_D,Total_Euth_Adj_D,Sub_Outcomes_D,Died_Lost_D,Total_Outcomes_D,End_Count_D,Begin_Count_C,Intake_Pub_H_C,Intake_Pub_TR_C,Intake_Pub_TM_C,Intake_Pub_UU_C,Intake_Pub_Total_C,Intake_In_Comm_H_C,Intake_In_Comm_TR_C,Intake_In_Comm_TM_C,Intake_In_Comm_UU_C,Intake_In_Comm_Total_C,Intake_Out_Comm_H_C,Intake_Out_Comm_TR_C,Intake_Out_Comm_TM_C,Intake_Out_Comm_UU_C,Intake_Out_Comm_Total_C,Intake_ORE_H_C,Intake_ORE_TR_C,Intake_ORE_TM_C,Intake_ORE_UU_C,Intake_ORE_Total_C,Total_Intake_C,ORE_Intake_UU_C,Total_Intake_Adj_C,Adoption_H_C,Adoption_TR_C,Adoption_TM_C,Adoption_UU_C,Total_Adoptions_C,Transfer_In_Comm_H_C,Transfer_In_Comm_TR_C,Transfer_In_Comm_TM_C,Transfer_In_Comm_UU_C,Transfer_In_Comm_Total_C,Transfer_Out_Comm_H_C,Transfer_Out_Comm_TR_C,Transfer_Out_Comm_TM_C,Transfer_Out_Comm_UU_C,Transfer_Out_Comm_Total_C,RTO_C,Return_Habitat_C,Euth_H_C,Euth_TR_C,Euth_TM_C,Euth_UU_C,Total_Euth_C,ORE_Euth_UU_C,Total_Euth_Adj_C,Sub_Outcomes_C,Died_Lost_C,Total_Outcomes_C,End_Count_C
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,HALO,Helping Animals Live On,1,85017,AG,N,214,145,247,130,32,554,2827,1629,900,84,5440,0,0,0,0,0,0,0,0,0,0,5994,0,5994,1936,2529,1047,115,5627,0,12,11,152,175,23,15,13,2,53,0,0,0,0,0,1,1,0,1,5856,49,5905,302,167,80,28,7,6,121,742,425,108,104,1379,9,0,0,0,9,0,0,0,0,0,1509,0,1509,783,498,85,71,1437,2,1,4,42,49,1,1,3,10,15,0,0,0,0,0,0,0,0,0,1501,49,1550,124
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,HSOW,Humane Society of Wickenburg,1,85390,AG,N,20,67,1,9,0,77,7,0,3,0,10,0,0,0,0,0,0,0,0,0,0,87,0,87,86,0,0,0,86,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,1,1,0,1,98,0,98,17,13,27,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,29,26,0,0,0,26,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,4,1,3,31,0,31,11
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,MCACC,Maricopa County Animal Care and Control,1,85009,AC,N,1049,6674,10190,6010,9827,32701,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,32704,0,32704,5834,985,2405,1160,10384,753,4554,521,353,6181,708,1039,1144,835,3726,4257,0,0,99,1265,6485,7849,0,7849,32397,306,32703,1049,506,792,1514,334,894,3534,79,84,0,0,163,0,0,0,0,0,0,0,0,0,0,3697,0,3697,671,299,89,61,1120,258,890,95,84,1327,70,153,52,42,317,27,0,0,20,68,724,812,0,812,3603,95,3698,506
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,SVAS,Sun Valley Animal Shelter,1,85307,AG,N,53,427,0,0,0,427,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,428,0,428,438,1,0,0,439,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,3,444,0,444,37,50,218,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,218,201,0,0,0,201,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,10,12,0,12,214,1,215,53
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,APR,Arizona Poodle Rescue,1,85138,AG,N,55,73,95,10,5,183,8,36,1,1,46,52,43,2,3,100,0,0,0,0,0,329,0,329,130,175,14,0,319,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,8,0,8,331,1,332,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,CFC,Caring for Canines,1,85028,AG,N,16,343,148,6,0,497,114,51,2,0,167,122,49,3,0,174,0,0,0,0,0,838,0,838,573,247,11,2,833,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,834,0,834,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,FKR,Fearless Kitty Rescue,1,85269,AG,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,95,1,1,43,140,5,0,0,0,5,10,1,0,3,14,0,0,0,0,0,159,0,159,113,1,0,39,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,156,3,159,23
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,FFR,Furever Friends Rescue,1,85233,AG,N,21,42,3,8,8,61,42,7,4,3,56,0,1,0,0,1,0,0,0,0,0,118,0,118,82,10,10,8,110,0,0,1,1,2,0,0,1,1,2,1,0,0,0,0,2,2,0,2,117,1,118,21,36,177,24,19,27,247,72,14,7,10,103,0,0,2,0,2,0,0,0,0,0,352,0,352,245,38,28,16,327,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,21,23,0,23,352,0,352,36
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,RL,Rescue League,1,85064,AG,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,154,47,3,2,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,206,185,39,3,0,227,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,3,0,3,235,8,243,81
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,RRAZ,Ruby Ranch,1,85069,AG,N,31,35,69,5,8,117,1,25,26,12,64,22,10,0,0,32,0,0,0,0,0,213,0,213,189,0,32,2,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,227,0,227,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,VDR,Valley Dogs Inc. (Valley Dogs Rescue),1,85299,AG,N,34,168,2,1,0,171,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,195,0,195,184,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,184,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,BACS,Berkeley Animal Care Services,1,94710,AC,N,39,781,56,59,49,945,6,0,0,0,6,30,10,10,0,50,0,0,0,2,2,1003,2,1001,181,22,31,0,234,233,31,40,0,304,10,4,3,0,17,350,0,0,0,0,96,96,2,94,999,2,1001,39,15,405,116,85,79,685,0,0,7,0,7,15,0,0,0,15,0,0,0,2,2,709,2,707,115,20,33,0,168,223,97,54,0,374,6,3,3,0,12,68,0,0,0,0,79,79,2,77,699,8,707,15
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,BEBHS,Berkeley East Bay Humane Society,1,94710,AG,N,21,5,2,2,0,9,275,118,8,0,401,11,9,1,0,21,0,0,0,0,0,431,0,431,166,202,32,0,400,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,20,20,0,20,421,1,422,30,14,6,6,0,0,12,190,363,9,0,562,0,0,0,0,0,1,0,0,0,1,575,0,575,123,400,26,0,549,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,7,8,1,7,558,3,561,27
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,BIG,Big Dawgs Rescue,1,94550,AG,N,125,45,0,0,0,45,10,0,15,0,25,40,0,0,0,40,0,0,0,0,0,110,0,110,187,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,194,0,194,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,DPR,Dusty Paws Rescue,1,94546,AG,N,14,13,0,0,0,13,45,0,0,2,47,18,0,0,2,20,0,0,0,0,0,80,0,80,62,0,11,0,73,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,2,0,2,79,1,80,14,3,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,3
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,EOE,East of Eden K-9 Rescue,1,94566,AG,N,21,21,4,0,0,25,11,14,0,0,25,13,1,0,0,14,0,0,0,0,0,64,0,64,47,18,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65,20,34,99,2,0,0,101,12,7,0,0,19,0,0,0,0,0,0,0,0,0,0,120,0,120,88,7,0,0,95,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,1,1,0,109,0,109,44
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,GSPSF,German Shorthaired Pointer Rescue of the San Francisco Bay Area,1,94710,AG,N,2,2,0,2,0,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,6,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,PF,Paw Fund,1,94662,AG,N,11,62,11,49,2,124,9,32,0,0,41,1,0,0,1,2,0,0,0,0,0,105,0,105,48,12,8,1,69,15,11,1,0,27,0,0,0,0,0,2,0,0,0,0,2,2,0,2,100,0,100,16,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,8,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,WOR,Wings of Rescue,1,94551,AG,N,5,7,35,0,0,42,3,0,2,0,5,97,23,0,0,120,0,0,0,0,0,167,0,167,9,70,0,0,79,0,0,0,0,0,60,33,0,0,93,0,0,0,0,0,0,0,0,0,172,0,172,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,CATT,Cat Town,1,94619,AG,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,57,195,9,11,272,0,0,0,0,0,0,0,0,0,0,272,0,272,52,179,8,1,240,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,11,0,11,254,0,254,72
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,COAAS,City of Alameda Animal Shelter,1,94501,AC,N,20,350,66,13,17,446,0,0,0,0,0,17,9,0,0,26,0,0,0,3,3,475,3,472,189,3,1,0,193,0,0,0,0,0,74,7,4,2,87,180,0,0,0,1,10,11,2,9,469,0,469,29,30,190,175,8,23,396,0,0,0,0,0,24,16,0,0,40,0,0,0,1,1,437,1,436,279,2,1,0,282,0,0,0,0,0,96,7,1,1,105,27,4,0,0,0,16,16,1,15,433,21,454,17
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,EBSPCA,East Bay SPCA,1,94621,AG,N,48,657,202,87,10,956,178,29,0,0,207,412,24,18,0,454,0,0,0,0,0,1617,0,1617,351,413,352,3,1119,206,22,15,2,245,25,6,6,1,38,42,0,0,1,0,92,93,0,93,1537,20,1557,108,90,550,300,58,8,916,335,45,1,0,381,296,30,2,1,329,0,0,0,0,0,1626,0,1626,688,637,115,3,1443,1,0,0,0,1,3,2,1,0,6,15,1,0,1,3,101,107,0,107,1573,18,1591,128
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,EASTCAS,East County Animal Shelter,1,94568,AC,N,33,740,210,266,152,1368,0,0,0,0,0,7,1,1,0,9,0,6,1,173,180,1557,173,1384,187,64,55,0,306,0,0,0,0,0,145,53,60,9,267,539,0,17,47,52,329,445,173,272,1384,2,1386,31,23,652,331,293,652,1928,0,0,0,0,0,1,0,0,0,1,0,7,0,131,138,2067,131,1936,217,64,64,3,348,0,0,0,0,0,352,172,105,53,682,60,0,23,91,91,756,961,131,830,1920,10,1930,29
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,FREMTAS,Fremont Animal Services,1,94513,AC,N,39,1253,0,94,29,1376,3,0,0,1,4,1,0,0,0,1,0,0,0,5,5,1386,5,1381,164,77,0,0,241,175,9,0,1,185,146,19,0,0,165,508,0,2,0,1,274,277,5,272,1371,0,1371,42,51,996,0,205,111,1312,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1314,0,1314,305,70,0,2,377,174,32,0,1,207,278,11,0,0,289,26,0,1,0,0,405,406,0,406,1305,0,1305,41
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,FFRSQ,Furry Friends Rescue,1,94537,AG,N,48,5,2,0,0,7,88,76,2,1,167,22,63,2,1,88,0,0,0,0,0,262,0,262,255,0,3,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,260,2,262,45,38,7,10,0,0,17,15,50,3,1,69,0,1,0,1,2,0,0,0,0,0,88,0,88,78,0,1,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,84,4,88,37
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,HYRDAS,Hayward Animal Services,1,94544,AC,N,45,590,350,110,230,1280,7,0,0,1,8,0,0,0,0,0,0,0,0,2,2,1290,2,1288,44,68,17,10,139,112,126,15,12,265,84,85,17,15,201,323,0,0,11,70,252,333,2,331,1259,5,1264,69,57,315,1033,468,125,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1941,0,1941,84,71,20,3,178,102,366,28,2,498,32,148,17,2,199,36,0,0,462,460,118,1040,0,1040,1951,14,1965,33
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,HALR,Home At Last Animal Rescue,1,94702,AG,N,7,14,0,0,0,14,3,2,2,2,9,0,0,1,0,1,0,0,0,0,0,24,0,24,17,1,5,0,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,3,27,0,27,4,44,32,4,2,0,38,16,2,5,0,23,64,6,0,0,70,0,0,0,0,0,131,0,131,112,4,4,0,120,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,121,2,123,52
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,HAR,Hopalong Animal Rescue,1,94602,AG,N,11,9,6,0,1,16,79,71,2,0,152,30,32,0,0,62,0,0,0,0,0,230,0,230,93,118,3,0,214,0,0,0,0,0,2,3,0,0,5,0,0,0,0,0,5,5,0,5,224,2,226,15,47,56,49,2,1,108,108,284,1,1,394,0,0,0,0,0,0,0,0,0,0,502,0,502,158,308,5,0,471,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,5,5,0,5,482,9,491,58
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,ICRA,Island Cat Resources and Adoption,1,94501,AG,N,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,62,726,279,89,11,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,0,1105,142,31,4,0,177,21,4,0,0,25,0,0,0,0,0,75,805,0,0,0,22,22,0,22,1104,1,1105,62
2014,ALAME,Alameda County,Alameda,6001,West,CA,94601,1610921,77214,LD,Lucky Dog,1,94566,AG,N,9,24,6,0,1,31,28,28,1,4,61,48,15,2,5,70,0,0,0,0,0,162,0,162,90,50,2,2,144,0,0,0,0,0,10,1,0,0,11,0,0,0,0,0,6,6,0,6,161,0,161,10,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0
